id,country,c3,c2,year,gini_reported,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,region_un,region_un_sub,region_wb,eu,oecd,incomegroup,mean,median,currency,reference_period,exchangerate,mean_usd,median_usd,gdp_ppp_pc_usd2011,population,revision,quality,quality_score,source,source_detailed,source_comments,survey
1780,Chile,CHL,CL,1968,46,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,0.00687646591103729,,,,9188822,,Low,8,Research study,Fields 1989,,Enucuesta Continua de Manor de Obra
1781,Chile,CHL,CL,1968,50.3,,,,,,,,,,,,,,,,,,Earnings,Primary income,No adjustment,No adjustment,Household,Household,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,0.00687646591103729,,,,9188822,,Not known,6,Research study,Lecaillon et al. 1984,,
1782,Chile,CHL,CL,1968,44,5.4,9.6,12,20.7,52.3,,,,,,,,,,,,22.6,Income (gross),"Income, gross",No adjustment,No adjustment,Household,Household,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,0.00687646591103729,,,,9188822,,Not known,11,Research study,Paukert 1973,Adelman and Morris 1972,
1783,Chile,CHL,CL,1970,50.1,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,0.0112775040919884,,,,9563865,,Low,5,Research study,Farne 1994,,
1784,Chile,CHL,CL,1971,46,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Household,Household,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,0.0122086435743848,,,,9745189,,Low,8,Research study,Fields 1989,,Encuesta Nacional sobre Ingresos Familiares
1785,Chile,CHL,CL,1972,44,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,0.0208352250595966,,,,9922558,,Low,5,Research study,Farne 1994,CEPAL 1987,
1786,Chile,CHL,CL,1973,45,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,0.0716419084529154,,,,10096295,,Low,5,Research study,Farne 1994,,
1787,Chile,CHL,CL,1973,44,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,0.0716419084529154,,,,10096295,,Low,5,Research study,Farne 1994,CEPAL 1987,
1788,Chile,CHL,CL,1974,45,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,0.592826261289235,,,,10267056,,Low,5,Research study,Farne 1994,,
1789,Chile,CHL,CL,1974,44,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,0.592826261289235,,,,10267056,,Low,5,Research study,Farne 1994,CEPAL 1987,
1790,Chile,CHL,CL,1975,47.1,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,4.91041666666667,,,,10435534,,Low,5,Research study,Farne 1994,,
1791,Chile,CHL,CL,1975,47,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,4.91041666666667,,,,10435534,,Low,5,Research study,Farne 1994,CEPAL 1987,
1792,Chile,CHL,CL,1976,53.8,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,13.0541666666667,,,,10601836,,Low,5,Research study,Farne 1994,,
1793,Chile,CHL,CL,1976,53,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,13.0541666666667,,,,10601836,,Low,5,Research study,Farne 1994,CEPAL 1987,
1794,Chile,CHL,CL,1977,52.6,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,21.5358333333333,,,,10766419,,Low,5,Research study,Farne 1994,,
1795,Chile,CHL,CL,1977,51,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,21.5358333333333,,,,10766419,,Low,5,Research study,Farne 1994,CEPAL 1987,
1796,Chile,CHL,CL,1978,52,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,31.6558333333333,,,,10930783,,Low,5,Research study,Farne 1994,,
1797,Chile,CHL,CL,1978,51,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,31.6558333333333,,,,10930783,,Low,5,Research study,Farne 1994,CEPAL 1987,
1798,Chile,CHL,CL,1979,51.8,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,37.2458333333333,,,,11096868,,Low,5,Research study,Farne 1994,,
1799,Chile,CHL,CL,1979,47,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,37.2458333333333,,,,11096868,,Low,5,Research study,Farne 1994,CEPAL 1987,
1800,Chile,CHL,CL,1980,53.2,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,39,,,,11266226,,Low,11,National statistical authority,Chile Ministry of Planning and Cooperation 1994,,
1801,Chile,CHL,CL,1980,52.6,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,39,,,,11266226,,Low,5,Research study,Farne 1994,,
1802,Chile,CHL,CL,1980,50,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,39,,,,11266226,,Low,5,Research study,Farne 1994,CEPAL 1987,
1803,Chile,CHL,CL,1981,53.5,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,39,,,,11439144,,Low,11,National statistical authority,Chile Ministry of Planning and Cooperation 1994,,
1804,Chile,CHL,CL,1981,52.2,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,39,,,,11439144,,Low,5,Research study,Farne 1994,,
1805,Chile,CHL,CL,1981,49,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,39,,,,11439144,,Low,5,Research study,Farne 1994,CEPAL 1987,
1806,Chile,CHL,CL,1982,57,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,50.9083333333333,,,,11615836,,Low,11,National statistical authority,Chile Ministry of Planning and Cooperation 1994,,
1807,Chile,CHL,CL,1982,53.9,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,50.9083333333333,,,,11615836,,Low,5,Research study,Farne 1994,,
1808,Chile,CHL,CL,1983,54.5,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,78.7883333333333,,,,11797534,,Low,11,National statistical authority,Chile Ministry of Planning and Cooperation 1994,,
1809,Chile,CHL,CL,1983,54.2,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,78.7883333333333,,,,11797534,,Low,5,Research study,Farne 1994,,
1810,Chile,CHL,CL,1984,55.8,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,98.4775,,,,11985658,,Low,11,National statistical authority,Chile Ministry of Planning and Cooperation 1994,,
1811,Chile,CHL,CL,1984,55.5,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,98.4775,,,,11985658,,Low,5,Research study,Farne 1994,,
1812,Chile,CHL,CL,1985,54.9,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,160.859999999917,,,,12181028,,Low,11,National statistical authority,Chile Ministry of Planning and Cooperation 1994,,
1813,Chile,CHL,CL,1985,53.2,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,160.859999999917,,,,12181028,,Low,5,Research study,Farne 1994,,
1814,Chile,CHL,CL,1986,55.7,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,192.929999999667,,,,12384108,,Low,11,National statistical authority,Chile Ministry of Planning and Cooperation 1994,,
1815,Chile,CHL,CL,1986,53.9,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,192.929999999667,,,,12384108,,Low,5,Research study,Farne 1994,,
1816,Chile,CHL,CL,1987,56.1,3.4,6.7,10.6,17.9,61.3,1.2,2.2,2.9,3.8,4.7,5.9,7.6,10.3,16,45.3,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,20102,,Local currency unit,Year,219.406666666667,,,,12594145,New 2018,High,13,SEDLAC,SEDLAC 2018,,
1817,Chile,CHL,CL,1987,54.8,3.7,7.1,10.9,18,60.3,1.3,2.4,3.1,4,4.9,6,7.7,10.3,15.8,44.5,,,Income (net/gross),"Income, net/gross",Equivalized,Equivalized,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,219.406666666667,,,,12594145,New 2018,High,13,SEDLAC,SEDLAC 2018,,
1818,Chile,CHL,CL,1987,56.7,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,219.406666666667,,,,12594145,,Low,11,National statistical authority,Chile Ministry of Planning and Cooperation 1994,,
1819,Chile,CHL,CL,1987,56.21,3.34,6.7,10.62,17.94,61.4,1.16,2.18,2.94,3.76,4.71,5.91,7.62,10.32,16.01,45.39,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,3589.8,1880.28,US$2011PPP,Year,219.406666666667,3590,1880,,12594145,New 2018,Average,11,World Bank,World Bank 2018,PovcalNet,
1820,Chile,CHL,CL,1987,47,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,219.406666666667,,,,12594145,,Low,6,Research study,Farne 1994,,
1821,Chile,CHL,CL,1987,53.1,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,Urban,Capital,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,219.406666666667,,,,12594145,,Low,5,Research study,Farne 1994,,
1822,Chile,CHL,CL,1988,54.5,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,245.011666666667,,,,12809025,,Low,11,National statistical authority,Chile Ministry of Planning and Cooperation 1994,,
1823,Chile,CHL,CL,1989,51.9,3.7,6.8,10.3,16.2,63,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,266.954166666667,,,,13025797,,Low,12,National statistical authority,Chile Ministry of Planning and Cooperation 1994,,
1824,Chile,CHL,CL,1989,57.3,3.7,6.8,10.3,16.2,62.9,1.4,2.3,3,3.8,4.6,5.7,7,9.2,14,48.9,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,276084,,Chilean peso,Month,266.954166666667,,,,13025797,,Average,13,Research study,Psacharopoulos et al. 1997,,Encuesta Nacional del Empleo
1825,Chile,CHL,CL,1990,52.4,3.88,7.66,11.78,18.92,57.77,1.33,2.55,3.4,4.26,5.36,6.42,8.26,10.66,15.61,42.16,0.44,29.53,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,298710,176400,Chilean peso,Year,304.903333333333,,,8992,13242132,New 2018,High,13,Luxembourg Income Study,LIS 2018,,
1826,Chile,CHL,CL,1990,50.3,4.22,8.15,12.45,19.39,55.79,1.47,2.75,3.61,4.54,5.58,6.87,8.51,10.88,15.48,40.31,0.48,27.93,Income (net),"Income, net",Equivalized,Equivalized,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,608760,375659,Chilean peso,Year,304.903333333333,,,8992,13242132,New 2018,High,13,Luxembourg Income Study,LIS 2018,,
1827,Chile,CHL,CL,1990,57.1,3.4,6.6,10.3,17.3,62.4,1.2,2.2,2.9,3.7,4.6,5.7,7.4,9.9,15.4,47,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,45173,,Local currency unit,Year,304.903333333333,,,8992,13242132,New 2018,High,13,SEDLAC,SEDLAC 2018,,
1828,Chile,CHL,CL,1990,55.8,3.8,7,10.5,17.3,61.4,1.4,2.4,3.1,3.9,4.7,5.8,7.4,9.9,15.3,46.1,,,Income (net/gross),"Income, net/gross",Equivalized,Equivalized,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,304.903333333333,,,8992,13242132,New 2018,High,13,SEDLAC,SEDLAC 2018,,
1829,Chile,CHL,CL,1990,55.4,3.6,7,10.8,18,60.6,1.2,2.4,3,4,4.8,6,7.8,10.2,15.4,45.2,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,304.903333333333,,,8992,13242132,,High,13,United Nations,ECLAC,,
1830,Chile,CHL,CL,1990,58.5,3.4,6.8,10.6,15.8,63.4,1.2,2.2,3,3.8,4.8,5.8,7,8.8,12.6,50.8,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,Rural,Rural,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,304.903333333333,,,8992,13242132,,High,13,United Nations,ECLAC,,
1831,Chile,CHL,CL,1990,54.3,3.6,7.2,11.2,18.4,59.6,1.2,2.4,3.2,4,5,6.2,8,10.4,15.8,43.8,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,304.903333333333,,,8992,13242132,,High,13,United Nations,ECLAC,,
1832,Chile,CHL,CL,1990,53.2,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,304.903333333333,,,8992,13242132,,Low,11,National statistical authority,Chile Ministry of Planning and Cooperation 1994,,
1833,Chile,CHL,CL,1990,57.25,3.36,6.56,10.32,17.3,62.46,1.19,2.17,2.89,3.67,4.57,5.75,7.38,9.92,15.41,47.05,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,4288.44,2187,US$2011PPP,Year,304.903333333333,4288,2187,8992,13242132,New 2018,Average,11,World Bank,World Bank 2018,PovcalNet,
1834,Chile,CHL,CL,1990,46,,,,,,,,,,,,,,,,,,Income (net/gross),"Income, net/gross",,,,Household,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,304.903333333333,,,8992,13242132,,Low,6,Research study,Farne 1994,,
1835,Chile,CHL,CL,1990,54.7,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,304.903333333333,,,8992,13242132,,Average,11,Research study,Szekely and Hilgert 2002,,Encuesta de Caracterizacion Socioeconomica Nacional
1836,Chile,CHL,CL,1990,55.7,,,,,,,,,,,,,,,,,,Income (net),"Monetary income, net",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,304.903333333333,,,8992,13242132,,Average,11,Research study,Szekely and Hilgert 2002,,Encuesta de Caracterizacion Socioeconomica Nacional
1837,Chile,CHL,CL,1990,55.9,,,,,,,,,,,,,,,,,,Earnings,"Earnings, net",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,304.903333333333,,,8992,13242132,,Average,7,Research study,Szekely and Hilgert 2002,,Encuesta de Caracterizacion Socioeconomica Nacional
1838,Chile,CHL,CL,1990,57.4,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,Rural,Rural,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,304.903333333333,,,8992,13242132,,Average,11,Research study,Szekely and Hilgert 2002,,Encuesta de Caracterizacion Socioeconomica Nacional
1839,Chile,CHL,CL,1990,53.7,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,304.903333333333,,,8992,13242132,,Average,11,Research study,Szekely and Hilgert 2002,,Encuesta de Caracterizacion Socioeconomica Nacional
1840,Chile,CHL,CL,1991,55.4,,,,,,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,349.215833333333,,,9539,13457244,,Low,11,National statistical authority,Chile Ministry of Planning and Cooperation 1994,,
1841,Chile,CHL,CL,1992,52.5,4.04,7.43,12.02,18.61,57.9,1.49,2.55,3.47,3.96,5.54,6.48,8.07,10.54,15.25,42.65,0.54,30.71,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,504859,292400,Chilean peso,Year,362.575833333333,,,10438,13671033,New 2018,High,13,Luxembourg Income Study,LIS 2018,,
1842,Chile,CHL,CL,1992,50.5,4.36,8.09,12.34,19.12,56.09,1.62,2.74,3.63,4.46,5.6,6.74,8.28,10.84,15.24,40.85,0.58,29.22,Income (net),"Income, net",Equivalized,Equivalized,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,1021735,622326,Chilean peso,Year,362.575833333333,,,10438,13671033,New 2018,High,13,Luxembourg Income Study,LIS 2018,,
1843,Chile,CHL,CL,1992,54.7,3.9,7.2,11,17.9,60,1.5,2.4,3.2,4,4.9,6.1,7.7,10.2,15,45,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,64588,,Local currency unit,Year,362.575833333333,,,10438,13671033,New 2018,High,13,SEDLAC,SEDLAC 2018,,
1844,Chile,CHL,CL,1992,53.1,4.2,7.6,11.3,18,58.8,1.6,2.6,3.4,4.2,5.1,6.2,7.8,10.2,14.8,44,,,Income (net/gross),"Income, net/gross",Equivalized,Equivalized,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,362.575833333333,,,10438,13671033,New 2018,High,13,SEDLAC,SEDLAC 2018,,
1845,Chile,CHL,CL,1992,55.1,3.8,7.2,10.8,18,60.4,1.4,2.4,3.2,4,4.8,6,7.8,10.2,15,45.4,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,362.575833333333,,,10438,13671033,,High,13,United Nations,ECLAC,,
1846,Chile,CHL,CL,1992,50.9,4.8,8.4,12.2,18,56.8,1.8,3,3.8,4.6,5.6,6.6,8,10,13.8,43,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,Rural,Rural,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,362.575833333333,,,10438,13671033,,High,13,United Nations,ECLAC,,
1847,Chile,CHL,CL,1992,54.7,3.8,7.2,11.2,18,60,1.4,2.4,3.2,4,5,6.2,7.8,10.2,15.2,44.8,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,362.575833333333,,,10438,13671033,,High,13,United Nations,ECLAC,,
1848,Chile,CHL,CL,1992,50.7,4.1,8.6,12.7,18.9,55.7,,,,,,,,,,,,,Income (gross),"Income, gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,362.575833333333,,,10438,13671033,,Low,12,National statistical authority,Chile Ministry of Planning and Cooperation 1994,,
1849,Chile,CHL,CL,1992,54.81,3.85,7.17,10.98,17.86,60.14,1.43,2.42,3.19,3.98,4.89,6.09,7.72,10.14,14.94,45.2,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,4570.2,2473.08,US$2011PPP,Year,362.575833333333,4570,2473,10438,13671033,New 2018,Average,11,World Bank,World Bank 2018,PovcalNet,
1850,Chile,CHL,CL,1992,52.2,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,362.575833333333,,,10438,13671033,,Average,11,Research study,Szekely and Hilgert 2002,,Encuesta de Caracterizacion Socioeconomica Nacional
1851,Chile,CHL,CL,1992,53.1,,,,,,,,,,,,,,,,,,Income (net),"Monetary income, net",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,362.575833333333,,,10438,13671033,,Average,11,Research study,Szekely and Hilgert 2002,,Encuesta de Caracterizacion Socioeconomica Nacional
1852,Chile,CHL,CL,1992,54.3,,,,,,,,,,,,,,,,,,Earnings,"Earnings, net",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,362.575833333333,,,10438,13671033,,Average,7,Research study,Szekely and Hilgert 2002,,Encuesta de Caracterizacion Socioeconomica Nacional
1853,Chile,CHL,CL,1992,47.2,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,Rural,Rural,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,362.575833333333,,,10438,13671033,,Average,11,Research study,Szekely and Hilgert 2002,,Encuesta de Caracterizacion Socioeconomica Nacional
1854,Chile,CHL,CL,1992,51.6,,,,,,,,,,,,,,,,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,Urban,Urban,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,362.575833333333,,,10438,13671033,,Average,11,Research study,Szekely and Hilgert 2002,,Encuesta de Caracterizacion Socioeconomica Nacional
1855,Chile,CHL,CL,1993,50,5.2,8.9,12.3,18.1,55.6,2,3.2,4,4.9,5.8,6.5,7.9,10.2,13.8,41.8,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,404.165833333333,,,10956,13882668,,Average,13,Other international organizations,Inter-American Development Bank 1999,Integration and Regional Programs Department website,Household Budget Survey
1856,Chile,CHL,CL,1994,52.7,3.7,7.55,11.84,19.11,57.8,1.27,2.43,3.32,4.23,5.28,6.56,8.27,10.84,15.92,41.88,0.43,29.5,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,723724,427116,Chilean peso,Year,420.176666666667,,,11337,14091389,New 2018,High,13,Luxembourg Income Study,LIS 2018,,
1857,Chile,CHL,CL,1994,51,3.95,7.92,12.37,19.67,56.1,1.38,2.57,3.49,4.43,5.53,6.84,8.59,11.08,15.97,40.13,0.47,27.88,Income (net),"Income, net",Equivalized,Equivalized,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,1454630,893876,Chilean peso,Year,420.176666666667,,,11337,14091389,New 2018,High,13,Luxembourg Income Study,LIS 2018,,
1858,Chile,CHL,CL,1994,56.3,3.5,6.8,10.6,17.7,61.4,1.3,2.2,3,3.8,4.7,5.9,7.5,10.2,15.6,45.8,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,88532,,Local currency unit,Year,420.176666666667,,,11337,14091389,New 2018,High,13,SEDLAC,SEDLAC 2018,,
1859,Chile,CHL,CL,1994,54.9,3.8,7.2,10.9,17.8,60.4,1.4,2.4,3.2,4,4.9,6,7.6,10.2,15.4,45,,,Income (net/gross),"Income, net/gross",Equivalized,Equivalized,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,High income,,,,,420.176666666667,,,11337,14091389,New 2018,High,13,SEDLAC,SEDLAC 2018,,
